FECHA,HORA,AMPM,WATERQ_OD_pc
08/02/2012,05:25:00,p.m.,97.8,
08/02/2012,05:41:00,p.m.,97.8,
09/08/2011,05:30:00,p.m.,89.4,
09/08/2011,05:44:00,p.m.,87.3,
10/04/2014,03:40:00,p.m.,85.1,
10/04/2014,03:45:00,p.m.,92.6,
11/10/2012,03:59:00,p.m.,91.2,
11/10/2012,04:08:00,p.m.,88.6,
11/12/2013,04:19:00,p.m.,99.2,
12/02/2014,02:19:00,p.m.,87.1,
12/02/2014,03:10:00,p.m.,94.9,
12/10/2011,06:24:00,p.m.,106,
12/10/2011,06:36:00,p.m.,103,
14/02/2017,06:28:00,p.m.,90.5,
14/08/2013,03:58:00,p.m.,92.4,
15/08/2012,04:39:00,p.m.,96.7,
20/08/2014,02:55:00,p.m.,81.2,
28/06/2012,05:02:00,p.m.,92.7,
28/06/2012,05:12:00,p.m.,96.8,
